r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 2.6325e-05 3.0276e-05 3.4663e-05 3.9494e-05 4.4763e-05 70 70 70 70 70
0.5 2.6525e-05 3.0517e-05 3.4954e-05 3.9843e-05 4.5183e-05 70 70 70 70 70
1 2.7126e-05 3.124e-05 3.5824e-05 4.089e-05 4.6441e-05 70 70 70 70 70
1.5 2.8142e-05 3.2464e-05 3.7297e-05 4.2663e-05 4.8575e-05 70 70 70 70 70
2 2.9597e-05 3.4218e-05 3.9411e-05 4.5211e-05 5.1645e-05 70 70 70 70 70
2.5 3.1523e-05 3.6544e-05 4.2218e-05 4.86e-05 5.5738e-05 70 70 70 70 70
3 3.3965e-05 3.9496e-05 4.5789e-05 5.292e-05 6.0967e-05 70 70 70 70 70
3.5 3.6978e-05 4.3147e-05 5.0214e-05 5.8286e-05 6.7482e-05 70 70 70 70 70
4 4.0632e-05 4.7584e-05 5.5605e-05 6.4842e-05 7.5466e-05 70 70 70 70 70
4.5 4.5011e-05 5.2914e-05 6.2099e-05 7.2764e-05 8.5148e-05 70 70 70 70 70
5 5.0218e-05 5.9267e-05 6.9862e-05 8.2266e-05 9.6805e-05 70 70 70 70 70
5.5 5.6373e-05 6.68e-05 7.9095e-05 9.3608e-05 0.00011078 70 70 70 70 70
6 6.3622e-05 7.5697e-05 9.0036e-05 0.0001071 0.00012747 70 70 70 70 70
6.5 7.2137e-05 8.6179e-05 0.00010297 0.00012311 0.00014736 70 70 70 70 70
7 8.2119e-05 9.8508e-05 0.00011824 0.00014209 0.00017106 70 70 70 70 70
7.5 9.3808e-05 0.00011299 0.00013625 0.00016456 0.00019925 70 70 70 70 70
8 0.00010749 0.00013 0.00015747 0.00019117 0.00023278 70 70 70 70 70
8.5 0.00012348 0.00014996 0.00018247 0.00022265 0.00027265 70 70 70 70 70
9 0.00014219 0.00017338 0.00021194 0.00025991 0.00032009 70 70 70 70 70
9.5 0.00016407 0.00020087 0.00024665 0.00030401 0.00037652 70 70 70 70 70
10 0.00018965 0.00023314 0.00028756 0.00035622 0.00044368 70 70 70 70 70
10.5 0.00021957 0.00027102 0.00033579 0.00041806 0.00052363 70 70 70 70 70
11 0.00025458 0.0003155 0.00039267 0.00049132 0.00061885 70 70 70 70 70
11.5 0.00029556 0.00036776 0.00045976 0.00057815 0.00073231 70 70 70 70 70
12 0.00034353 0.00042917 0.00053894 0.0006811 0.00086755 70 70 70 70 70
12.5 0.00039971 0.00050136 0.00063241 0.00080322 0.0010288 70 70 70 70 70
13 0.00046552 0.00058626 0.0007428 0.00094813 0.0012212 70 70 70 70 70
13.5 0.00054265 0.00068613 0.00087322 0.0011201 0.0014508 70 70 70 70 70
14 0.00063307 0.00080367 0.0010274 0.0013244 0.001725 70 70 70 70 70
14.5 0.00073911 0.00094203 0.0012096 0.0015671 0.0020524 70 70 70 70 70
15 0.0008635 0.001105 0.0014251 0.0018555 0.0024437 70 70 70 70 70
15.5 0.0010095 0.0012969 0.0016801 0.0021984 0.0029114 70 70 70 70 70
16 0.0011808 0.0015231 0.0019819 0.0026062 0.0034706 70 70 70 70 70
16.5 0.001382 0.0017898 0.0023392 0.0030912 0.0041395 70 70 70 70 70
17 0.0016183 0.0021042 0.0027624 0.0036685 0.0049398 70 70 70 70 70
17.5 0.001896 0.002475 0.0032636 0.0043556 0.0058976 70 70 70 70 70
18 0.0022223 0.0029125 0.0038576 0.0051738 0.0070444 70 70 70 70 70
18.5 0.0026059 0.0034289 0.0045615 0.0061483 0.0084176 70 70 70 70 70
19 0.0030569 0.0040383 0.0053962 0.0073092 0.010063 70 70 70 70 70
19.5 0.0035874 0.004758 0.0063859 0.0086927 0.012034 70 70 70 70 70
20 0.0042114 0.0056079 0.00756 0.010342 0.014396 70 70 70 70 70
20.5 0.0049457 0.0066118 0.0089529 0.012308 0.017228 70 70 70 70 68.667
21 0.0058098 0.0077981 0.010606 0.014652 0.019991 70 70 70 70 67.367
21.5 0.0068271 0.0092 0.012568 0.017449 0.02269 70 70 70 68.688 66.097
22 0.0080249 0.010857 0.014897 0.020181 0.025326 70 70 70 67.407 64.856
22.5 0.0094355 0.012816 0.017663 0.022852 0.027904 70 70 68.707 66.154 63.643
23 0.011097 0.015133 0.020369 0.025464 0.030424 70 70 67.443 64.929 62.457
23.5 0.013054 0.017873 0.023016 0.02802 0.032891 70 68.724 66.206 63.731 61.296
24 0.015361 0.020555 0.025607 0.030522 0.035305 70 67.476 64.995 62.557 60.16
24.5 0.018079 0.023182 0.028145 0.032972 0.03767 68.74 66.253 63.809 61.408 59.047
25 0.020742 0.025756 0.030632 0.035373 0.039987 67.505 65.054 62.647 60.282 57.956
25.5 0.023353 0.02828 0.033069 0.037727 0.042258 66.294 63.88 61.508 59.178 56.888
26 0.025329 0.030171 0.034878 0.039455 0.043907 65.108 62.729 60.392 58.096 55.84
26.5 0.026684 0.031445 0.036073 0.040572 0.044949 63.944 61.6 59.297 57.036 54.813
27 0.027431 0.032114 0.036666 0.041091 0.045394 62.803 60.493 58.224 55.995 53.806
27.5 0.027583 0.032191 0.036669 0.041023 0.045257 61.684 59.406 57.17 54.975 52.817
28 0.02715 0.031686 0.036094 0.040379 0.044547 60.585 58.34 56.136 53.973 51.847
28.5 0.026727 0.031192 0.035532 0.03975 0.043853 59.506 57.293 55.121 52.989 50.895
29 0.026314 0.03071 0.034982 0.039136 0.043175 58.446 56.265 54.124 52.023 49.959
29.5 0.025909 0.030238 0.034444 0.038534 0.042511 57.404 55.254 53.144 51.073 49.04
30 0.025514 0.029776 0.033918 0.037946 0.041862 56.381 54.261 52.181 50.14 48.136
30.5 0.025126 0.029324 0.033404 0.03737 0.041227 55.374 53.284 51.234 49.223 47.248
31 0.024747 0.028882 0.0329 0.036806 0.040605 54.384 52.324 50.303 48.32 46.374
31.5 0.024376 0.028449 0.032406 0.036254 0.039996 53.411 51.379 49.387 47.433 45.515
32 0.024013 0.028025 0.031923 0.035714 0.0394 52.453 50.45 48.486 46.56 44.67
32.5 0.023657 0.027609 0.03145 0.035184 0.038816 51.51 49.535 47.599 45.701 43.838
33 0.023308 0.027202 0.030986 0.034665 0.038243 50.582 48.635 46.726 44.855 43.019
33.5 0.022966 0.026803 0.030532 0.034157 0.037683 49.668 47.748 45.867 44.022 42.213
34 0.022631 0.026412 0.030087 0.033659 0.037133 48.768 46.875 45.02 43.202 41.419
34.5 0.022303 0.026029 0.02965 0.03317 0.036594 47.882 46.015 44.186 42.394 40.637
35 0.021981 0.025653 0.029222 0.032692 0.036066 47.009 45.168 43.365 41.598 39.866
35.5 0.021665 0.025285 0.028802 0.032222 0.035548 46.148 44.333 42.555 40.814 39.107
36 0.021355 0.024923 0.02839 0.031761 0.03504 45.3 43.51 41.758 40.041 38.359
36.5 0.021052 0.024569 0.027987 0.031309 0.034541 44.464 42.699 40.971 39.279 37.621
37 0.020754 0.024221 0.02759 0.030866 0.034052 43.639 41.899 40.196 38.528 36.894
37.5 0.020461 0.023879 0.027201 0.030431 0.033572 42.826 41.11 39.431 37.787 36.176
