r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 0.00025297 0.00014133 0.00016383 0.00018707 0.00020874 70 70 70 70 70
0.5 0.00025937 0.00017042 0.00017155 0.00019148 0.00020868 70 70 70 70 70
1 0.00026019 0.00019234 0.00017851 0.00019609 0.00021053 70 70 70 70 70
1.5 0.0002564 0.00021097 0.00018574 0.00020145 0.00021429 70 70 70 70 70
2 0.00024879 0.00022675 0.00019357 0.00020793 0.00022039 70 70 70 70 70
2.5 0.00023827 0.00024 0.00020232 0.00021599 0.00022946 70 70 70 70 70
3 0.00022592 0.00025117 0.00021242 0.0002264 0.00024222 70 70 70 70 70
3.5 0.00021292 0.00026095 0.00022438 0.00023971 0.00025956 70 70 70 70 70
4 0.00020055 0.00027019 0.00023881 0.00025678 0.00028249 70 70 70 70 70
4.5 0.00019021 0.00027994 0.00025648 0.00027867 0.00031213 70 70 70 70 70
5 0.00018333 0.00029137 0.00027823 0.00030657 0.00034979 70 70 70 70 70
5.5 0.0001814 0.00030577 0.00030509 0.00034179 0.00039692 70 70 70 70 70
6 0.00018591 0.00032451 0.0003382 0.00038579 0.0004552 70 70 70 70 70
6.5 0.00019833 0.00034904 0.00037889 0.00044018 0.00052657 70 70 70 70 70
7 0.0002201 0.00038088 0.00042867 0.00050678 0.00061325 70 70 70 70 70
7.5 0.00025258 0.00042162 0.00048927 0.00058765 0.00071789 70 70 70 70 70
8 0.00029704 0.00047296 0.00056266 0.00068519 0.00084356 70 70 70 70 70
8.5 0.00035473 0.00053674 0.00065114 0.00080214 0.00099394 70 70 70 70 70
9 0.00042683 0.00061501 0.00075732 0.00094176 0.0011734 70 70 70 70 70
9.5 0.00051458 0.00071007 0.00088425 0.0011079 0.0013872 70 70 70 70 70
10 0.00061931 0.00082453 0.0010355 0.0013051 0.0016416 70 70 70 70 70
10.5 0.00074258 0.00096146 0.0012151 0.0015387 0.0019442 70 70 70 70 70
11 0.00088628 0.0011244 0.001428 0.0018154 0.002304 70 70 70 70 70
11.5 0.0010528 0.0013177 0.0016799 0.002143 0.002732 70 70 70 70 70
12 0.001245 0.0015461 0.0019776 0.0025306 0.0032413 70 70 70 70 70
12.5 0.0014667 0.0018156 0.0023291 0.0029896 0.0038476 70 70 70 70 70
13 0.0017227 0.0021331 0.002744 0.0035334 0.0045699 70 70 70 70 70
13.5 0.0020186 0.002507 0.0032336 0.0041779 0.005431 70 70 70 70 70
14 0.0023614 0.0029469 0.0038114 0.0049423 0.0064582 70 70 70 70 70
14.5 0.0027598 0.0034645 0.0044935 0.0058494 0.0076842 70 70 70 70 70
15 0.0032239 0.0040734 0.0052991 0.0069267 0.0091485 70 70 70 70 70
15.5 0.0037658 0.0047901 0.0062511 0.0082067 0.010898 70 70 70 70 70
16 0.0043999 0.0056336 0.0073766 0.0097284 0.01299 70 70 70 70 70
16.5 0.0051431 0.006627 0.008708 0.011538 0.015492 70 70 70 70 70
