r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 9.1103e-05 0.00010118 0.00011055 0.00011843 0.0001239 70 70 70 70 70
0.5 9.2479e-05 0.00010278 0.00011239 0.0001205 0.0001262 70 70 70 70 70
1 9.4801e-05 0.00010548 0.00011549 0.00012401 0.00013009 70 70 70 70 70
1.5 9.8485e-05 0.00010977 0.00012041 0.00012959 0.00013629 70 70 70 70 70
2 0.00010367 0.0001158 0.00012736 0.00013746 0.00014506 70 70 70 70 70
2.5 0.00011048 0.00012375 0.00013652 0.00014787 0.00015666 70 70 70 70 70
3 0.00011909 0.00013381 0.00014814 0.00016109 0.00017144 70 70 70 70 70
3.5 0.0001297 0.00014622 0.00016251 0.00017748 0.00018983 70 70 70 70 70
4 0.00014255 0.0001613 0.00018 0.00019749 0.00021234 70 70 70 70 70
4.5 0.00015794 0.0001794 0.00020105 0.00022166 0.00023962 70 70 70 70 70
5 0.00017623 0.00020096 0.00022621 0.00025064 0.00027247 70 70 70 70 70
5.5 0.00019785 0.00022653 0.00025613 0.00028522 0.00031181 70 70 70 70 70
6 0.00022331 0.00025671 0.00029158 0.00032634 0.00035881 70 70 70 70 70
6.5 0.00025321 0.00029228 0.00033349 0.00037515 0.00041484 70 70 70 70 70
7 0.00028826 0.0003341 0.00038296 0.000433 0.00048156 70 70 70 70 70
7.5 0.0003293 0.00038324 0.00044129 0.0005015 0.00056093 70 70 70 70 70
8 0.00037732 0.00044093 0.00051003 0.00058258 0.00065534 70 70 70 70 70
8.5 0.00043348 0.00050864 0.00059103 0.00067853 0.00076762 70 70 70 70 70
9 0.00049916 0.00058809 0.00068647 0.00079209 0.00090118 70 70 70 70 70
9.5 0.00057596 0.00068134 0.00079892 0.0009265 0.0010601 70 70 70 70 70
10 0.00066578 0.00079079 0.00093144 0.0010856 0.0012492 70 70 70 70 70
10.5 0.00077084 0.00091929 0.0010877 0.0012741 0.0014743 70 70 70 70 70
11 0.00089376 0.0010702 0.0012719 0.0014974 0.0017424 70 70 70 70 70
11.5 0.0010376 0.0012475 0.0014893 0.001762 0.0020618 70 70 70 70 70
12 0.001206 0.0014558 0.0017457 0.0020758 0.0024426 70 70 70 70 70
12.5 0.0014033 0.0017007 0.0020485 0.002448 0.0028967 70 70 70 70 70
13 0.0016343 0.0019887 0.0024061 0.0028897 0.0034385 70 70 70 70 70
13.5 0.0019051 0.0023275 0.0028286 0.003414 0.004085 70 70 70 70 70
14 0.0022226 0.0027262 0.0033279 0.0040366 0.0048569 70 70 70 70 70
14.5 0.0025949 0.0031956 0.0039182 0.0047763 0.005779 70 70 70 70 70
15 0.0030316 0.0037483 0.0046165 0.0056554 0.0068807 70 70 70 70 70
15.5 0.0035441 0.0043995 0.0054425 0.0067005 0.0081976 70 70 70 70 70
16 0.0041457 0.0051669 0.0064202 0.0079433 0.0097722 70 70 70 70 70
16.5 0.0048522 0.0060714 0.0075777 0.0094219 0.011656 70 70 70 70 70
17 0.0056819 0.007138 0.0089484 0.011181 0.013909 70 70 70 70 70
17.5 0.0066568 0.0083961 0.010572 0.013276 0.016606 70 70 70 70 70
18 0.0078025 0.0098803 0.012496 0.01577 0.019835 70 70 70 70 70
18.5 0.0091493 0.011632 0.014777 0.01874 0.023702 70 70 70 70 70
19 0.010733 0.0137 0.017481 0.022279 0.028335 70 70 70 70 70
19.5 0.012595 0.016141 0.020687 0.026496 0.033885 70 70 70 70 70
20 0.014787 0.019024 0.024491 0.031522 0.040537 70 70 70 70 70
20.5 0.017365 0.02243 0.029003 0.037515 0.048511 70 70 70 70 60.127
21 0.020399 0.026455 0.034358 0.044661 0.056293 70 70 70 70 51.739
21.5 0.023971 0.031211 0.040715 0.053186 0.063893 70 70 70 60.339 44.598
22 0.028177 0.036833 0.048261 0.061514 0.071317 70 70 70 52.098 38.506
22.5 0.03313 0.043479 0.057222 0.069655 0.078575 70 70 60.537 45.054 33.3
23 0.038964 0.051339 0.065987 0.077618 0.085674 70 70 52.433 39.023 28.841
23.5 0.045838 0.060636 0.074563 0.085409 0.09262 70 60.722 45.483 33.849 25.017
24 0.053936 0.069736 0.082958 0.093037 0.099421 70 52.749 39.51 29.403 21.73
24.5 0.063481 0.078649 0.091181 0.10051 0.10608 60.895 45.887 34.369 25.576 18.902
25 0.072833 0.087383 0.099238 0.10783 0.11261 53.046 39.971 29.937 22.277 16.462
25.5 0.082 0.095943 0.10714 0.115 0.119 46.269 34.863 26.11 19.428 14.356
26 0.08886 0.10227 0.11289 0.12015 0.12351 40.41 30.447 22.801 16.965 12.535
26.5 0.09349 0.10645 0.1166 0.12337 0.12623 35.337 26.624 19.937 14.833 10.959
27 0.095963 0.10855 0.11833 0.12474 0.12725 30.94 23.31 17.455 12.986 9.5934
27.5 0.096355 0.10867 0.11819 0.12436 0.12668 27.122 20.433 15.3 11.382 8.4087
28 0.094741 0.10688 0.11626 0.12234 0.12462 23.804 17.933 13.428 9.9895 7.3796
28.5 0.093162 0.10512 0.11437 0.12036 0.1226 20.916 15.757 11.798 8.7768 6.4836
29 0.091618 0.10341 0.11252 0.11842 0.12063 18.397 13.86 10.378 7.7197 5.7026
29.5 0.090108 0.10173 0.11071 0.11652 0.1187 16.199 12.204 9.1374 6.7971 5.021
30 0.08863 0.10009 0.10894 0.11467 0.11681 14.279 10.756 8.0537 5.9909 4.4253
30.5 0.087184 0.098479 0.1072 0.11285 0.11496 12.598 9.4902 7.1055 5.2855 3.9042
31 0.085768 0.096906 0.10551 0.11108 0.11316 11.126 8.3811 6.2751 4.6676 3.4477
31.5 0.084381 0.095366 0.10385 0.10934 0.11139 9.835 7.4086 5.5468 4.1259 3.0475
32 0.083023 0.093858 0.10222 0.10763 0.10965 8.7017 6.5547 4.9075 3.6502 2.6961
32.5 0.081693 0.09238 0.10063 0.10596 0.10795 7.7057 5.8044 4.3456 3.2323 2.3874
33 0.08039 0.090932 0.099068 0.10433 0.10629 6.8293 5.1442 3.8513 2.8645 2.1157
33.5 0.079112 0.089514 0.097539 0.10273 0.10466 6.0575 4.5627 3.4159 2.5407 1.8765
34 0.07786 0.088123 0.09604 0.10116 0.10306 5.3769 4.05 3.032 2.2551 1.6655
34.5 0.076633 0.08676 0.094571 0.099617 0.1015 4.7762 3.5975 2.6932 2.0031 1.4794
35 0.075429 0.085423 0.09313 0.098108 0.099961 4.2454 3.1977 2.3939 1.7804 1.3149
35.5 0.074248 0.084112 0.091717 0.096629 0.098455 3.7759 2.844 2.1291 1.5835 1.1694
36 0.073091 0.082827 0.090332 0.095177 0.096978 3.3601 2.5308 1.8946 1.409 1.0405
36.5 0.071955 0.081565 0.088972 0.093753 0.095529 2.9915 2.2531 1.6867 1.2544 0.92632
37 0.07084 0.080328 0.087639 0.092356 0.094108 2.6643 2.0067 1.5022 1.1172 0.82493
37.5 0.069746 0.079114 0.08633 0.090986 0.092713 2.3734 1.7876 1.3382 0.9952 0.73483
38 0.068673 0.077922 0.085046 0.089641 0.091344 2.1146 1.5927 1.1923 0.88664 0.65463
38.5 0.067619 0.076752 0.083785 0.08832 0.090001 1.8851 1.4198 1.0629 0.79042 0.58355
39 0.066584 0.075603 0.082547 0.087024 0.088682 1.6814 1.2665 0.94813 0.70507 0.52051
39.5 0.065568 0.074476 0.081332 0.085752 0.087387 1.5006 1.1303 0.84625 0.62931 0.46457
40 0.064571 0.073368 0.080139 0.084502 0.086116 1.3399 1.0094 0.75575 0.56202 0.41488
40.5 0.063591 0.072281 0.078967 0.083275 0.084868 1.1971 0.90189 0.6753 0.50222 0.37072
41 0.062629 0.071212 0.077816 0.082069 0.083641 1.07 0.80626 0.60376 0.44903 0.33145
41.5 0.061683 0.070163 0.076686 0.080886 0.082437 0.9569 0.72115 0.54009 0.4017 0.29651
42 0.060754 0.069132 0.075575 0.079722 0.081253 0.85618 0.64536 0.48339 0.35955 0.26539
42.5 0.059842 0.068119 0.074484 0.07858 0.080091 0.76644 0.57783 0.43287 0.32199 0.23767
43 0.058945 0.067124 0.073412 0.077457 0.078948 0.68643 0.51763 0.38782 0.28851 0.21296
43.5 0.058063 0.066146 0.072358 0.076353 0.077826 0.61506 0.46392 0.34764 0.25865 0.19092
44 0.057197 0.065184 0.071322 0.075269 0.076723 0.55137 0.41599 0.31178 0.23199 0.17124
44.5 0.056345 0.064239 0.070304 0.074203 0.075638 0.4945 0.37318 0.27976 0.20818 0.15367
45 0.055508 0.06331 0.069303 0.073155 0.074572 0.44369 0.33494 0.25114 0.18691 0.13797
45.5 0.054685 0.062396 0.068319 0.072125 0.073524 0.39828 0.30076 0.22555 0.16789 0.12393
46 0.053876 0.061498 0.067352 0.071112 0.072494 0.35767 0.27018 0.20267 0.15087 0.11138
46.5 0.05308 0.060615 0.0664 0.070116 0.071481 0.32134 0.24282 0.18219 0.13564 0.10014
47 0.052297 0.059747 0.065465 0.069136 0.070484 0.28882 0.21833 0.16385 0.12201 0.090075
47.5 0.051528 0.058892 0.064545 0.068173 0.069505 0.2597 0.19639 0.14743 0.10979 0.08106
48 0.05077 0.058052 0.06364 0.067226 0.068541 0.23361 0.17673 0.1327 0.098844 0.072978
48.5 0.050026 0.057226 0.06275 0.066294 0.067593 0.21022 0.1591 0.1195 0.089024 0.065731
49 0.049293 0.056413 0.061875 0.065377 0.066661 0.18925 0.14329 0.10766 0.080214 0.059229
49.5 0.048573 0.055613 0.061013 0.064476 0.065744 0.17044 0.1291 0.097026 0.072305 0.053392
50 0.047863 0.054826 0.060166 0.063589 0.064841 0.15355 0.11637 0.08748 0.065203 0.04815
50.5 0.047166 0.054052 0.059332 0.062716 0.063954 0.13839 0.10493 0.078904 0.058821 0.043439
51 0.046479 0.053291 0.058512 0.061857 0.06308 0.12478 0.094646 0.071196 0.053085 0.039206
51.5 0.045804 0.052541 0.057705 0.061012 0.062221 0.11254 0.085405 0.064266 0.047927 0.035398
52 0.045139 0.051803 0.05691 0.06018 0.061375 0.10154 0.077095 0.058032 0.043286 0.031972
52.5 0.044485 0.051077 0.056128 0.059362 0.060543 0.091644 0.069618 0.052422 0.039109 0.028889
53 0.043841 0.050363 0.055359 0.058557 0.059723 0.082743 0.062889 0.047371 0.035348 0.026113
53.5 0.043207 0.049659 0.054601 0.057764 0.058917 0.074732 0.05683 0.042823 0.03196 0.023611
54 0.042583 0.048967 0.053856 0.056983 0.058124 0.067519 0.051373 0.038724 0.028908 0.021357
54.5 0.041969 0.048286 0.053122 0.056215 0.057342 0.061022 0.046455 0.03503 0.026155 0.019325
55 0.041365 0.047615 0.0524 0.055459 0.056573 0.055168 0.042021 0.031699 0.023673 0.017493
55.5 0.04077 0.046954 0.051689 0.054715 0.055816 0.049891 0.038024 0.028694 0.021434 0.015839
56 0.040184 0.046304 0.050988 0.053982 0.055071 0.045133 0.034417 0.025982 0.019412 0.014346
56.5 0.039607 0.045664 0.050299 0.05326 0.054337 0.040842 0.031163 0.023534 0.017587 0.012999
57 0.039039 0.045033 0.04962 0.05255 0.053615 0.036969 0.028225 0.021324 0.015939 0.011781
57.5 0.03848 0.044413 0.048952 0.051851 0.052904 0.033474 0.025571 0.019327 0.01445 0.010681
58 0.037929 0.043802 0.048294 0.051162 0.052203 0.030318 0.023174 0.017522 0.013104 0.0096869
58.5 0.037387 0.0432 0.047646 0.050484 0.051514 0.027467 0.021008 0.015891 0.011887 0.0087878
59 0.036853 0.042607 0.047008 0.049816 0.050835 0.024891 0.01905 0.014416 0.010786 0.0079746
59.5 0.036327 0.042023 0.046379 0.049158 0.050166 0.022564 0.017279 0.013081 0.0097895 0.0072387
60 0.035809 0.041449 0.04576 0.04851 0.049507 0.020459 0.015677 0.011874 0.008888 0.0065726
60.5 0.035299 0.040883 0.045151 0.047872 0.048859 0.018556 0.014228 0.010781 0.0080718 0.0059695
61 0.034797 0.040325 0.04455 0.047244 0.04822 0.016834 0.012916 0.0097908 0.0073325 0.0054233
61.5 0.034302 0.039776 0.043959 0.046625 0.047591 0.015276 0.011728 0.0088943 0.0066628 0.0049283
62 0.033815 0.039235 0.043377 0.046016 0.046971 0.013865 0.010653 0.008082 0.0060559 0.0044798
62.5 0.033335 0.038702 0.042803 0.045416 0.04636 0.012588 0.009678 0.0073458 0.0055057 0.0040732
63 0.032863 0.038177 0.042238 0.044824 0.045759 0.011432 0.0087948 0.0066785 0.0050068 0.0037044
63.5 0.032397 0.03766 0.041682 0.044242 0.045167 0.010384 0.0079941 0.0060732 0.0045543 0.0033699
64 0.031939 0.037151 0.041133 0.043668 0.044584 0.0094344 0.0072681 0.0055242 0.0041437 0.0030663
64.5 0.031487 0.03665 0.040593 0.043103 0.044009 0.0085738 0.0066097 0.0050261 0.003771 0.0027908
65 0.031042 0.036156 0.040061 0.042546 0.043443 0.0077934 0.0060123 0.004574 0.0034327 0.0025407
65.5 0.030604 0.035669 0.039537 0.041998 0.042886 0.0070857 0.0054702 0.0041635 0.0031255 0.0023136
66 0.030172 0.035189 0.039021 0.041458 0.042336 0.0064436 0.0049781 0.0037908 0.0028465 0.0021072
66.5 0.029747 0.034717 0.038512 0.040925 0.041795 0.0058611 0.0045313 0.0034522 0.002593 0.0019197
67 0.029328 0.034252 0.038011 0.040401 0.041262 0.0053323 0.0041255 0.0031445 0.0023626 0.0017493
67.5 0.028915 0.033793 0.037517 0.039885 0.040737 0.0048523 0.0037568 0.002865 0.0021531 0.0015944
68 0.028508 0.033342 0.037031 0.039376 0.04022 0.0044164 0.0034219 0.0026108 0.0019627 0.0014535
68.5 0.028108 0.032897 0.036552 0.038874 0.03971 0.0040205 0.0031174 0.0023797 0.0017895 0.0013254
69 0.027713 0.032458 0.03608 0.03838 0.039208 0.0036608 0.0028407 0.0021695 0.0016319 0.0012088
69.5 0.027325 0.032026 0.035615 0.037894 0.038713 0.003334 0.002589 0.0019783 0.0014885 0.0011027
70 0.026942 0.031601 0.035157 0.037414 0.038226 0.0030369 0.0023601 0.0018043 0.001358 0.0010061
70.5 0.026565 0.031182 0.034705 0.036942 0.037746 0.0027669 0.0021519 0.001646 0.0012392 0.00091816
71 0.026193 0.030769 0.034261 0.036477 0.037273 0.0025213 0.0019624 0.0015018 0.001131 0.00083808
71.5 0.025827 0.030362 0.033822 0.036018 0.036807 0.002298 0.00179 0.0013706 0.0010325 0.00076514
72 0.025466 0.029961 0.033391 0.035567 0.036348 0.0020948 0.001633 0.001251 0.00094269 0.00069869
72.5 0.025111 0.029566 0.032965 0.035122 0.035895 0.0019099 0.0014901 0.0011421 0.00086089 0.00063813
73 0.024761 0.029177 0.032546 0.034683 0.03545 0.0017417 0.0013599 0.0010429 0.00078634 0.00058293
73.5 0.024416 0.028793 0.032134 0.034251 0.03501 0.0015886 0.0012413 0.00095246 0.00071838 0.0005326
74 0.024076 0.028416 0.031727 0.033826 0.034578 0.0014491 0.0011333 0.00087003 0.00065641 0.00048671
74.5 0.023742 0.028044 0.031326 0.033406 0.034152 0.0013222 0.0010348 0.00079487 0.00059989 0.00044485
75 0.023412 0.027677 0.030931 0.032993 0.033732 0.0012065 0.00094507 0.00072634 0.00054834 0.00040667
75.5 0.023087 0.027316 0.030542 0.032586 0.033318 0.0011012 0.00086326 0.00066383 0.00050131 0.00037183
76 0.022768 0.02696 0.030159 0.032185 0.032911 0.0010052 0.00078866 0.0006068 0.00045839 0.00034003
76.5 0.022453 0.02661 0.029782 0.03179 0.032509 0.00091773 0.00072063 0.00055476 0.00041921 0.00031101
77 0.022142 0.026264 0.02941 0.031401 0.032114 0.00083801 0.00065857 0.00050727 0.00038345 0.00028451
77.5 0.021836 0.025924 0.029043 0.031018 0.031724 0.00076532 0.00060196 0.00046392 0.0003508 0.00026031
78 0.021535 0.025589 0.028683 0.03064 0.03134 0.00069905 0.0005503 0.00042435 0.00032098 0.00023821
78.5 0.021239 0.025259 0.028327 0.030268 0.030962 0.00063862 0.00050315 0.00038821 0.00029374 0.00021802
79 0.020946 0.024934 0.027977 0.029902 0.03059 0.00058349 0.00046011 0.00035521 0.00026886 0.00019957
79.5 0.020659 0.024614 0.027632 0.029541 0.030223 0.0005332 0.00042081 0.00032506 0.00024612 0.00018271
80 0.020375 0.024298 0.027292 0.029185 0.029862 0.00048732 0.00038493 0.00029751 0.00022534 0.00016731
80.5 0.020096 0.023987 0.026957 0.028835 0.029506 0.00044545 0.00035216 0.00027234 0.00020635 0.00015322
81 0.019821 0.023681 0.026627 0.02849 0.029155 0.00040723 0.00032223 0.00024934 0.00018898 0.00014034
81.5 0.01955 0.02338 0.026303 0.02815 0.02881 0.00037235 0.00029488 0.00022831 0.0001731 0.00012857
82 0.019284 0.023083 0.025983 0.027816 0.028469 0.00034049 0.00026989 0.00020909 0.00015858 0.0001178
82.5 0.019021 0.02279 0.025668 0.027486 0.028134 0.00031141 0.00024705 0.00019151 0.0001453 0.00010794
83 0.018763 0.022502 0.025357 0.027161 0.027805 0.00028485 0.00022618 0.00017543 0.00013315 9.8929e-05
83.5 0.018508 0.022219 0.025052 0.026842 0.02748 0.00026058 0.0002071 0.00016073 0.00012203 9.0679e-05
84 0.018257 0.021939 0.024751 0.026527 0.02716 0.00023842 0.00018965 0.00014728 0.00011186 8.3129e-05
84.5 0.01801 0.021664 0.024454 0.026217 0.026844 0.00021816 0.0001737 0.00013497 0.00010255 7.6219e-05
85 0.017767 0.021393 0.024162 0.025911 0.026534 0.00019966 0.00015911 0.00012371 9.4023e-05 6.9892e-05
85.5 0.017528 0.021127 0.023875 0.025611 0.026229 0.00018274 0.00014576 0.0001134 8.622e-05 6.4098e-05
86 0.017292 0.020864 0.023592 0.025315 0.025928 0.00016728 0.00013355 0.00010396 7.9074e-05 5.8793e-05
86.5 0.01706 0.020606 0.023314 0.025023 0.025631 0.00015315 0.00012238 9.5326e-05 7.253e-05 5.3934e-05
87 0.016832 0.020351 0.023039 0.024736 0.02534 0.00014022 0.00011215 8.7417e-05 6.6536e-05 4.9483e-05
87.5 0.016607 0.0201 0.022769 0.024453 0.025053 0.00012841 0.0001028 8.0173e-05 6.1045e-05 4.5405e-05
88 0.016386 0.019854 0.022503 0.024175 0.02477 0.0001176 9.4231e-05 7.3539e-05 5.6014e-05 4.1668e-05
88.5 0.016168 0.019611 0.022242 0.023901 0.024492 0.00010771 8.639e-05 6.7462e-05 5.1404e-05 3.8244e-05
89 0.015954 0.019372 0.021984 0.023632 0.024218 9.867e-05 7.9211e-05 6.1895e-05 4.7179e-05 3.5105e-05
89.5 0.015743 0.019136 0.02173 0.023367 0.023948 9.0396e-05 7.2636e-05 5.6794e-05 4.3307e-05 3.2228e-05
90 0.015535 0.018905 0.021481 0.023105 0.023683 8.2825e-05 6.6615e-05 5.2119e-05 3.9757e-05 2.959e-05
90.5 0.015331 0.018677 0.021235 0.022849 0.023422 7.5896e-05 6.11e-05 4.7835e-05 3.6502e-05 2.7171e-05
91 0.01513 0.018453 0.020993 0.022596 0.023165 6.9554e-05 5.6048e-05 4.3908e-05 3.3518e-05 2.4953e-05
91.5 0.014932 0.018232 0.020756 0.022347 0.022912 6.375e-05 5.1419e-05 4.0308e-05 3.0782e-05 2.2918e-05
92 0.014738 0.018015 0.020522 0.022102 0.022663 5.8436e-05 4.7178e-05 3.7007e-05 2.8272e-05 2.1052e-05
92.5 0.014546 0.017801 0.020291 0.021861 0.022418 5.357e-05 4.3291e-05 3.398e-05 2.5969e-05 1.934e-05
93 0.014358 0.017591 0.020065 0.021624 0.022177 4.9115e-05 3.9729e-05 3.1204e-05 2.3857e-05 1.7769e-05
93.5 0.014173 0.017385 0.019842 0.021391 0.021941 4.5035e-05 3.6463e-05 2.8659e-05 2.1919e-05 1.6328e-05
94 0.013991 0.017181 0.019623 0.021161 0.021708 4.1298e-05 3.347e-05 2.6323e-05 2.014e-05 1.5005e-05
94.5 0.013812 0.016981 0.019407 0.020936 0.021478 3.7875e-05 3.0726e-05 2.4181e-05 1.8508e-05 1.3791e-05
95 0.013636 0.016785 0.019195 0.020714 0.021253 3.4739e-05 2.8209e-05 2.2215e-05 1.701e-05 1.2676e-05
95.5 0.013463 0.016591 0.018987 0.020496 0.021031 3.1866e-05 2.5901e-05 2.0411e-05 1.5635e-05 1.1653e-05
96 0.013292 0.016401 0.018782 0.020281 0.020813 2.9233e-05 2.3785e-05 1.8756e-05 1.4373e-05 1.0714e-05
96.5 0.013125 0.016214 0.01858 0.02007 0.020599 2.6821e-05 2.1843e-05 1.7236e-05 1.3213e-05 9.8509e-06
97 0.012961 0.01603 0.018382 0.019863 0.020388 2.4609e-05 2.0062e-05 1.5842e-05 1.2149e-05 9.0585e-06
97.5 0.012799 0.01585 0.018187 0.019659 0.020181 2.2583e-05 1.8428e-05 1.4561e-05 1.1171e-05 8.3308e-06
98 0.01264 0.015672 0.017996 0.019459 0.019978 2.0725e-05 1.6929e-05 1.3386e-05 1.0274e-05 7.6623e-06
98.5 0.012484 0.015498 0.017808 0.019262 0.019778 1.9022e-05 1.5553e-05 1.2306e-05 9.4488e-06 7.0481e-06
99 0.012331 0.015326 0.017623 0.019069 0.019581 1.746e-05 1.4291e-05 1.1315e-05 8.6912e-06 6.4838e-06
99.5 0.01218 0.015158 0.017441 0.018879 0.019388 1.6028e-05 1.3132e-05 1.0404e-05 7.995e-06 5.9653e-06
100 0.012032 0.014992 0.017263 0.018692 0.019198 1.4715e-05 1.2068e-05 9.5682e-06 7.3554e-06 5.4888e-06
100.5 0.011887 0.01483 0.017087 0.018508 0.019012 1.3511e-05 1.1092e-05 8.8e-06 6.7676e-06 5.0508e-06
101 0.011744 0.01467 0.016915 0.018328 0.018829 1.2406e-05 1.0195e-05 8.0943e-06 6.2273e-06 4.6483e-06
101.5 0.011604 0.014514 0.016746 0.018151 0.018649 1.1393e-05 9.3718e-06 7.4458e-06 5.7307e-06 4.2782e-06
102 0.011466 0.01436 0.01658 0.017978 0.018473 1.0464e-05 8.6158e-06 6.85e-06 5.2743e-06 3.938e-06
102.5 0.011331 0.014209 0.016417 0.017807 0.018299 9.6106e-06 7.9216e-06 6.3024e-06 4.8546e-06 3.6251e-06
103 0.011199 0.01406 0.016257 0.01764 0.018129 8.828e-06 7.2839e-06 5.7991e-06 4.4688e-06 3.3375e-06
103.5 0.011069 0.013915 0.0161 0.017476 0.017963 8.1098e-06 6.6982e-06 5.3365e-06 4.114e-06 3.0729e-06
104 0.010941 0.013772 0.015946 0.017314 0.017799 7.4507e-06 6.1601e-06 4.9113e-06 3.7877e-06 2.8296e-06
104.5 0.010816 0.013632 0.015795 0.017156 0.017638 6.8458e-06 5.6657e-06 4.5203e-06 3.4876e-06 2.6058e-06
105 0.010694 0.013495 0.015647 0.017001 0.017481 6.2905e-06 5.2115e-06 4.1609e-06 3.2116e-06 2.3999e-06
105.5 0.010573 0.01336 0.015502 0.016849 0.017326 5.7808e-06 4.7941e-06 3.8303e-06 2.9577e-06 2.2105e-06
106 0.010455 0.013228 0.015359 0.0167 0.017175 5.3128e-06 4.4106e-06 3.5264e-06 2.7241e-06 2.0362e-06
106.5 0.01034 0.013099 0.01522 0.016554 0.017026 4.8831e-06 4.058e-06 3.2468e-06 2.5092e-06 1.8758e-06
107 0.010227 0.012972 0.015083 0.016411 0.016881 4.4885e-06 3.734e-06 2.9897e-06 2.3115e-06 1.7283e-06
107.5 0.010116 0.012847 0.014949 0.01627 0.016738 4.1262e-06 3.4362e-06 2.7532e-06 2.1295e-06 1.5924e-06
108 0.010007 0.012726 0.014817 0.016133 0.016599 3.7935e-06 3.1623e-06 2.5356e-06 1.962e-06 1.4674e-06
108.5 0.0099004 0.012606 0.014688 0.015998 0.016462 3.4878e-06 2.9106e-06 2.3354e-06 1.8079e-06 1.3523e-06
109 0.0097962 0.01249 0.014562 0.015866 0.016328 3.2071e-06 2.6791e-06 2.1513e-06 1.666e-06 1.2464e-06
109.5 0.0096943 0.012375 0.014439 0.015737 0.016197 2.9492e-06 2.4663e-06 1.9818e-06 1.5354e-06 1.1488e-06
110 0.0095945 0.012264 0.014318 0.015611 0.016068 2.7123e-06 2.2705e-06 1.8258e-06 1.4152e-06 1.059e-06
110.5 0.0094969 0.012154 0.0142 0.015487 0.015943 2.4946e-06 2.0905e-06 1.6823e-06 1.3045e-06 9.7632e-07
111 0.0094014 0.012047 0.014085 0.015367 0.01582 2.2946e-06 1.9249e-06 1.5502e-06 1.2025e-06 9.0015e-07
111.5 0.0093081 0.011943 0.013972 0.015248 0.0157 2.1108e-06 1.7726e-06 1.4285e-06 1.1087e-06 8.3001e-07
112 0.0092169 0.01184 0.013862 0.015133 0.015583 1.9419e-06 1.6325e-06 1.3166e-06 1.0222e-06 7.654e-07
112.5 0.0091278 0.01174 0.013754 0.01502 0.015468 1.7867e-06 1.5036e-06 1.2135e-06 9.426e-07 7.0589e-07
113 0.0090407 0.011643 0.013648 0.01491 0.015356 1.644e-06 1.385e-06 1.1186e-06 8.6927e-07 6.5106e-07
113.5 0.0089558 0.011548 0.013546 0.014802 0.015247 1.5128e-06 1.2759e-06 1.0312e-06 8.0171e-07 6.0055e-07
114 0.0088729 0.011455 0.013445 0.014697 0.01514 1.3923e-06 1.1754e-06 9.5078e-07 7.3948e-07 5.5402e-07
114.5 0.008792 0.011364 0.013347 0.014595 0.015036 1.2815e-06 1.083e-06 8.7668e-07 6.8214e-07 5.1114e-07
115 0.0087131 0.011275 0.013252 0.014495 0.014934 1.1796e-06 9.9798e-07 8.0844e-07 6.2932e-07 4.7163e-07
115.5 0.0086362 0.011189 0.013159 0.014397 0.014835 1.0859e-06 9.197e-07 7.4558e-07 5.8064e-07 4.3521e-07
116 0.0085613 0.011105 0.013068 0.014302 0.014739 9.9971e-07 8.4765e-07 6.8769e-07 5.3579e-07 4.0165e-07
116.5 0.0084884 0.011023 0.01298 0.01421 0.014645 9.205e-07 7.8133e-07 6.3436e-07 4.9446e-07 3.7073e-07
117 0.0084174 0.010944 0.012894 0.01412 0.014554 8.4765e-07 7.2027e-07 5.8523e-07 4.5637e-07 3.4222e-07
117.5 0.0083483 0.010866 0.01281 0.014033 0.014465 7.8065e-07 6.6407e-07 5.3998e-07 4.2126e-07 3.1594e-07
118 0.0082812 0.010791 0.012729 0.013947 0.014378 7.1904e-07 6.1233e-07 4.9828e-07 3.8891e-07 2.9172e-07
118.5 0.008216 0.010718 0.01265 0.013865 0.014294 6.6237e-07 5.6469e-07 4.5987e-07 3.5909e-07 2.6939e-07
