r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 2.7079e-05 3.0731e-05 3.468e-05 3.8899e-05 4.3346e-05 70 70 70 70 70
0.5 2.7284e-05 3.0974e-05 3.4968e-05 3.924e-05 4.3748e-05 70 70 70 70 70
1 2.8313e-05 3.2196e-05 3.6417e-05 4.0955e-05 4.5775e-05 70 70 70 70 70
1.5 3.0197e-05 3.4435e-05 3.9074e-05 4.4104e-05 4.9501e-05 70 70 70 70 70
2 3.2993e-05 3.7763e-05 4.3029e-05 4.8798e-05 5.5065e-05 70 70 70 70 70
2.5 3.6786e-05 4.2284e-05 4.8412e-05 5.5201e-05 6.2673e-05 70 70 70 70 70
3 4.169e-05 4.8142e-05 5.5403e-05 6.3537e-05 7.2608e-05 70 70 70 70 70
3.5 4.7854e-05 5.5521e-05 6.4233e-05 7.4098e-05 8.5239e-05 70 70 70 70 70
4 5.5463e-05 6.4655e-05 7.5195e-05 8.7255e-05 0.00010103 70 70 70 70 70
4.5 6.4748e-05 7.5833e-05 8.8654e-05 0.00010347 0.00012058 70 70 70 70 70
5 7.5989e-05 8.9408e-05 0.00010506 0.0001233 0.0001446 70 70 70 70 70
5.5 8.9526e-05 0.00010581 0.00012494 0.00014746 0.000174 70 70 70 70 70
6 0.00010577 0.00012555 0.00014898 0.00017678 0.00020985 70 70 70 70 70
6.5 0.0001252 0.00014927 0.00017796 0.00021229 0.00025349 70 70 70 70 70
7 0.00014842 0.0001777 0.00021286 0.00025523 0.00030655 70 70 70 70 70
7.5 0.00017613 0.00021174 0.00025481 0.00030711 0.00037098 70 70 70 70 70
8 0.00020915 0.00025248 0.00030523 0.00036975 0.00044919 70 70 70 70 70
8.5 0.00024849 0.0003012 0.00036578 0.00044534 0.00054408 70 70 70 70 70
9 0.00029534 0.00035944 0.00043847 0.00053653 0.00065917 70 70 70 70 70
9.5 0.00035111 0.00042904 0.00052572 0.0006465 0.00079873 70 70 70 70 70
10 0.00041749 0.00051221 0.00063043 0.00077912 0.00096794 70 70 70 70 70
10.5 0.00049648 0.00061156 0.00075606 0.00093903 0.0011731 70 70 70 70 70
11 0.00059047 0.00073024 0.00090679 0.0011318 0.0014218 70 70 70 70 70
11.5 0.00070229 0.000872 0.0010876 0.0013643 0.0017233 70 70 70 70 70
12 0.00083533 0.0010413 0.0013046 0.0016445 0.0020888 70 70 70 70 70
12.5 0.00099361 0.0012435 0.0015648 0.0019823 0.0025318 70 70 70 70 70
13 0.0011819 0.0014851 0.001877 0.0023895 0.0030688 70 70 70 70 70
13.5 0.0014059 0.0017736 0.0022515 0.0028804 0.0037198 70 70 70 70 70
