r	u1	u2	u3	u4	u5	v1	v2	v3	v4	v5
0	1.08E-04	1.24E-04	1.43E-04	1.63E-04	1.86E-04	70	70	70	70	70
2.75	1.34E-04	1.55E-04	1.81E-04	2.09E-04	2.40E-04	70	70	70	70	70
5.5	2.31E-04	2.72E-04	3.26E-04	3.85E-04	4.56E-04	70	70	70	70	70
8.25	4.72E-04	5.68E-04	7.00E-04	8.46E-04	1.04E-03	70	70	70	70	70
11	1.04E-03	1.29E-03	1.62E-03	2.01E-03	2.56E-03	70	70	70	70	70
13.75	2.40E-03	3.03E-03	3.92E-03	4.99E-03	6.56E-03	70	70	70	70	70
16.5	5.66E-03	7.35E-03	9.69E-03	0.012696441	0.01723388	70	70	70	70	70
19.25	0.013572193	0.018052064	0.024284489	0.032802436	0.045951287	70	70	70	70	70
22	0.032880348	0.04461652	0.061504786	0.081460869	0.100964328	70	70	70	67.45820312	64.96747872
24.75	0.078176828	0.097254275	0.115845254	0.133986186	0.151694284	68.14135841	65.71431547	63.34234587	61.02219575	58.75057591
27.5	0.103369745	0.120826295	0.137830908	0.154417241	0.170600783	61.80200463	59.58109793	57.4113857	55.28986474	53.2135275
30.25	0.095266089	0.111354391	0.1270262	0.142312456	0.15722738	56.10022557	54.06577609	52.07884834	50.13670999	48.23661102
33	0.088076351	0.102950825	0.117440089	0.131572856	0.14536226	50.90373312	49.03944598	47.21924763	45.44074529	43.70143059
35.75	0.081657291	0.0954473	0.108880214	0.121982687	0.134766954	46.13315338	44.42491652	42.75778657	41.12959137	39.53803465
38.5	0.075894054	0.088710657	0.101195441	0.113373126	0.125255082	41.73090659	40.16708069	38.64157121	37.15238763	35.6974295
41.25	0.070696501	0.082635368	0.09426514	0.105608845	0.116677072	37.70789472	36.27752133	34.88279516	33.5219303	32.19301082
44	0.065991393	0.077135684	0.087991453	0.098580193	0.10891179	34.03637652	32.72952082	31.45578557	30.21357406	29.00114143
46.75	0.061718348	0.072141029	0.08229387	0.092196973	0.101859583	30.67901648	29.48682405	28.32534797	27.19316704	26.08869568
49.5	0.057827078	0.067592621	0.077105338	0.086384061	0.095437455	27.60478343	26.51928511	25.4622054	24.43228637	23.42809131
52.25	0.05427525	0.063440979	0.07236941	0.081078219	0.08957554	24.78756963	23.80152752	22.84169903	21.90697861	20.9960691
55	0.051026893	0.059644055	0.068038122	0.076225712	0.084214471	22.20516202	21.31194583	20.44281973	19.59682075	18.77278298
57.75	0.048051187	0.056165827	0.064070382	0.071780502	0.079303384	19.83846169	19.03194801	18.24747302	17.48420748	16.74110939
60.5	0.045321535	0.052975206	0.060430725	0.067702854	0.074798383	17.67088187	16.94537095	16.23991182	15.55380107	14.88611404
63.25	0.042814833	0.050045184	0.057088345	0.063958257	0.070661338	15.68787607	15.03802216	14.40629171	13.79209998	13.19463387
66	0.040510895	0.04735217	0.054016326	0.060516557	0.066858933	13.8765626	13.29731509	12.73431685	12.18709546	11.6549443
68.75	0.038391996	0.044875442	0.051191033	0.057351274	0.063361915	12.22542112	11.7119743	11.21295394	10.72799427	10.25649075
71.5	0.036442498	0.042596722	0.048591615	0.054439046	0.060144475	10.72404368	10.27179372	9.83219776	9.404991634	8.989669107
74.25	0.034648547	0.040499818	0.046199602	0.051759182	0.057183751	9.362927285	8.967435512	8.582876438	8.209083098	7.845644298
77	0.032997829	0.038570335	0.043998571	0.049293283	0.054459416	8.133298456	7.790260344	7.456487753	7.131906954	6.816198989
79.75	0.031479359	0.036795433	0.041973876	0.04702494	0.051953341	7.026962812	6.73218268	6.445060257	6.165611433	5.893606962
82.5	0.03008331	0.035163627	0.040112416	0.044939475	0.049649311	6.036174779	5.785546411	5.541035076	5.30274278	5.070527524
85.25	0.028800872	0.033664617	0.038402442	0.043023725	0.047532783	5.153524242	4.9430181	4.737165846	4.536151902	4.339918803
88	0.027624126	0.032289148	0.036833395	0.041265862	0.045590688	4.371838621	4.197496564	4.026435735	3.858918647	3.694969022
90.75	0.026545941	0.031028885	0.035395767	0.039655233	0.043811259	3.684100366	3.542038962	3.401991743	3.264293861	3.129045769
